Attrition,YearsAtCompany,Age,Department,Education,EducationField,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
Yes,0,37,Research & Development,2,Other,Male,2,1,Laboratory Technician,3,Single,2090,Yes,15,3,7,3,3,0,0,0
No,0,21,Research & Development,2,Life Sciences,Male,3,1,Research Scientist,4,Single,1232,No,14,3,0,6,3,0,0,0
No,0,45,Research & Development,4,Other,Male,3,3,Research Director,1,Married,13245,Yes,14,3,17,3,4,0,0,0
No,0,23,Sales,1,Technical Degree,Male,3,1,Sales Representative,1,Divorced,2322,No,13,3,3,3,3,0,0,0
No,0,22,Research & Development,3,Medical,Female,3,1,Laboratory Technician,4,Single,2871,No,15,3,1,5,3,0,0,0
Yes,0,19,Sales,1,Marketing,Male,3,1,Sales Representative,3,Single,1675,Yes,19,3,0,2,2,0,0,0
Yes,0,19,Sales,1,Technical Degree,Female,1,1,Sales Representative,1,Single,2325,No,21,4,1,5,4,0,0,0
Yes,0,28,Research & Development,4,Life Sciences,Male,3,1,Laboratory Technician,3,Single,3485,No,11,3,5,5,1,0,0,0
No,0,29,Sales,3,Medical,Male,2,2,Sales Executive,2,Married,6644,No,19,3,10,2,3,0,0,0
Yes,0,18,Research & Development,3,Life Sciences,Male,3,1,Laboratory Technician,3,Single,1420,No,13,3,0,2,3,0,0,0
No,0,18,Sales,3,Medical,Female,2,1,Sales Representative,3,Single,1200,No,12,3,0,2,3,0,0,0
No,0,47,Sales,1,Medical,Male,3,2,Sales Representative,3,Single,2976,No,19,3,5,3,3,0,0,0
No,0,48,Sales,1,Medical,Female,3,3,Manager,3,Married,12504,No,21,4,15,3,1,0,0,0
Yes,0,18,Sales,3,Marketing,Male,3,1,Sales Representative,2,Single,1878,Yes,14,3,0,3,3,0,0,0
No,0,26,Sales,2,Medical,Male,3,2,Sales Executive,3,Divorced,4306,No,12,3,8,5,3,0,0,0
No,0,38,Research & Development,1,Life Sciences,Female,3,1,Research Scientist,1,Single,2619,No,17,3,8,3,2,0,0,0
No,0,34,Research & Development,5,Life Sciences,Female,3,2,Manufacturing Director,1,Divorced,5121,No,14,3,7,3,3,0,0,0
Yes,0,23,Research & Development,3,Life Sciences,Male,4,1,Laboratory Technician,1,Married,1601,Yes,21,4,1,2,3,0,0,0
No,0,30,Research & Development,3,Medical,Female,2,2,Manufacturing Director,4,Single,6877,Yes,24,4,12,4,2,0,0,0
No,0,27,Research & Development,3,Medical,Male,3,1,Research Scientist,4,Married,1706,No,11,3,0,6,2,0,0,0
No,0,48,Research & Development,4,Medical,Male,3,1,Research Scientist,3,Married,2259,No,17,3,13,2,2,0,0,0
Yes,0,29,Research & Development,3,Life Sciences,Female,2,1,Research Scientist,1,Single,2404,Yes,20,4,3,5,3,0,0,0
No,0,18,Research & Development,2,Life Sciences,Male,3,1,Research Scientist,4,Single,1051,No,15,3,0,2,3,0,0,0
Yes,0,50,Sales,4,Other,Male,3,2,Sales Executive,3,Single,4728,Yes,14,3,5,4,3,0,0,0
No,0,34,Research & Development,4,Life Sciences,Male,2,1,Research Scientist,4,Married,2979,No,17,3,6,2,3,0,0,0
Yes,0,18,Research & Development,1,Medical,Male,3,1,Laboratory Technician,3,Single,1904,No,12,3,0,0,3,0,0,0
Yes,0,22,Research & Development,4,Life Sciences,Male,2,1,Research Scientist,4,Married,2853,Yes,11,3,1,5,3,0,0,0
No,0,44,Research & Development,3,Life Sciences,Male,1,1,Research Scientist,3,Single,2290,No,13,3,6,3,3,0,0,0
No,0,40,Sales,4,Medical,Male,3,2,Sales Executive,2,Married,4327,No,12,3,5,2,3,0,0,0
No,0,45,Research & Development,3,Medical,Female,3,5,Manager,2,Single,18061,No,22,4,22,4,3,0,0,0
No,0,18,Research & Development,3,Life Sciences,Female,3,1,Laboratory Technician,4,Single,1611,No,15,3,0,5,4,0,0,0
Yes,0,24,Research & Development,3,Medical,Male,3,1,Laboratory Technician,1,Single,3172,Yes,11,3,4,2,2,0,0,0
Yes,0,28,Research & Development,2,Medical,Male,2,1,Laboratory Technician,1,Single,2561,No,11,3,8,2,2,0,0,0
No,0,33,Research & Development,5,Life Sciences,Male,3,2,Healthcare Representative,3,Single,6388,Yes,17,3,14,6,3,0,0,0
Yes,0,18,Sales,2,Medical,Female,3,1,Sales Representative,4,Single,1569,Yes,12,3,0,2,4,0,0,0
No,0,38,Research & Development,2,Medical,Female,3,1,Laboratory Technician,3,Married,3306,No,19,3,7,5,2,0,0,0
Yes,0,32,Sales,2,Life Sciences,Male,1,2,Sales Executive,2,Single,6735,No,15,3,10,2,3,0,0,0
Yes,0,33,Sales,3,Life Sciences,Female,3,3,Sales Executive,1,Single,8564,Yes,20,4,11,2,2,0,0,0
No,0,42,Research & Development,3,Medical,Male,4,2,Healthcare Representative,1,Married,5538,No,18,3,10,2,2,0,0,0
No,0,18,Research & Development,3,Medical,Female,3,1,Research Scientist,3,Single,1514,No,16,3,0,4,1,0,0,0
No,0,32,Sales,4,Marketing,Male,3,2,Sales Executive,4,Single,4648,No,13,3,4,2,4,0,0,0
No,0,42,Research & Development,3,Life Sciences,Male,3,1,Laboratory Technician,3,Single,3968,No,13,3,8,3,3,0,0,0
No,0,56,Sales,5,Marketing,Female,2,2,Sales Executive,1,Married,5380,No,16,3,6,3,3,0,0,0
No,0,42,Sales,4,Marketing,Male,3,2,Sales Executive,4,Divorced,5087,Yes,12,3,14,4,3,0,0,0
No,1,59,Research & Development,3,Medical,Female,4,1,Laboratory Technician,1,Married,2670,Yes,20,4,12,3,2,0,0,0
No,1,30,Research & Development,1,Life Sciences,Male,3,1,Laboratory Technician,3,Divorced,2693,No,22,4,1,2,3,0,0,0
No,1,22,Research & Development,2,Medical,Male,4,1,Laboratory Technician,4,Divorced,2935,Yes,13,3,1,2,2,0,0,0
No,1,33,Research & Development,3,Medical,Male,3,1,Laboratory Technician,4,Single,2496,No,11,3,7,3,3,1,0,0
Yes,1,39,Sales,3,Technical Degree,Male,3,2,Sales Representative,4,Married,2086,No,14,3,19,6,4,0,0,0
No,1,36,Research & Development,4,Life Sciences,Female,2,1,Research Scientist,1,Married,3419,Yes,14,3,6,3,4,1,0,0
No,1,35,Research & Development,2,Other,Male,3,1,Laboratory Technician,4,Divorced,1951,No,12,3,1,3,3,0,0,0
No,1,27,Research & Development,4,Life Sciences,Female,3,1,Laboratory Technician,1,Divorced,2341,No,13,3,1,6,3,0,0,0
Yes,1,26,Research & Development,3,Life Sciences,Male,1,1,Laboratory Technician,3,Single,2293,No,12,3,1,2,2,0,0,1
No,1,37,Research & Development,2,Life Sciences,Male,3,1,Research Scientist,2,Married,3022,No,21,4,8,1,3,0,0,0
No,1,35,Research & Development,1,Life Sciences,Male,4,1,Laboratory Technician,4,Married,2269,No,19,3,1,2,3,0,0,1
Yes,1,48,Research & Development,2,Life Sciences,Male,2,3,Laboratory Technician,3,Single,5381,Yes,13,3,23,2,3,0,0,0
No,1,45,Research & Development,3,Life Sciences,Male,3,3,Research Scientist,1,Divorced,9724,No,17,3,25,2,3,0,0,0
Yes,1,36,Research & Development,3,Medical,Male,2,1,Research Scientist,3,Married,3388,Yes,17,3,2,0,2,0,0,0
No,1,31,Research & Development,4,Medical,Male,3,1,Research Scientist,2,Single,2501,No,17,3,1,4,3,1,1,0
No,1,36,Research & Development,3,Life Sciences,Female,4,1,Laboratory Technician,4,Married,3038,No,12,3,5,3,3,0,0,0
No,1,55,Sales,2,Life Sciences,Male,3,3,Sales Executive,4,Married,10239,No,14,3,24,4,3,0,1,0
No,1,32,Research & Development,1,Life Sciences,Male,3,1,Research Scientist,1,Single,2956,No,13,3,1,2,3,0,0,0
Yes,1,20,Research & Development,3,Life Sciences,Female,2,1,Laboratory Technician,4,Single,2926,Yes,18,3,1,5,3,0,1,0
No,1,37,Research & Development,2,Life Sciences,Male,2,2,Healthcare Representative,4,Divorced,5163,No,14,3,17,2,4,0,0,0
No,1,34,Research & Development,4,Life Sciences,Female,2,2,Research Scientist,2,Divorced,4505,No,15,3,12,3,3,0,0,0
No,1,36,Research & Development,2,Life Sciences,Female,3,1,Laboratory Technician,4,Divorced,2835,No,22,4,7,2,3,0,0,0
No,1,19,Research & Development,1,Medical,Female,3,1,Laboratory Technician,2,Single,1483,No,14,3,1,3,3,0,0,0
No,1,51,Research & Development,4,Medical,Male,2,2,Manufacturing Director,3,Married,6132,No,17,3,10,2,3,0,0,0
No,1,58,Research & Development,3,Medical,Female,2,1,Research Scientist,2,Married,3346,Yes,20,4,9,3,2,0,0,0
No,1,27,Research & Development,3,Medical,Male,2,1,Research Scientist,3,Divorced,2566,Yes,15,3,1,2,2,1,0,1
Yes,1,19,Research & Development,3,Life Sciences,Male,2,1,Laboratory Technician,4,Single,1102,No,22,4,1,3,2,0,1,0
Yes,1,35,Research & Development,2,Life Sciences,Male,2,2,Manufacturing Director,3,Married,5916,Yes,13,3,8,1,3,0,0,1
No,1,38,Research & Development,4,Life Sciences,Male,3,2,Manufacturing Director,3,Married,6553,No,14,3,14,3,3,0,0,0
Yes,1,38,Research & Development,1,Medical,Male,3,2,Healthcare Representative,1,Married,6673,Yes,19,3,17,2,3,0,0,0
No,1,41,Sales,3,Life Sciences,Female,3,3,Manager,4,Single,13591,Yes,18,3,16,3,3,0,0,0
No,1,59,Research & Development,3,Life Sciences,Male,2,1,Research Scientist,4,Married,2177,No,17,3,7,6,3,0,0,0
No,1,41,Research & Development,2,Life Sciences,Male,3,2,Research Scientist,1,Divorced,3072,No,16,3,17,2,2,0,0,0
Yes,1,37,Research & Development,3,Medical,Male,3,3,Manufacturing Director,3,Divorced,10048,No,11,3,17,5,3,0,0,0
No,1,51,Research & Development,3,Life Sciences,Male,3,1,Research Scientist,4,Married,2723,No,11,3,1,0,2,0,0,0
Yes,1,44,Research & Development,3,Life Sciences,Male,3,1,Laboratory Technician,3,Divorced,3161,Yes,22,4,19,0,1,0,0,0
No,1,36,Research & Development,4,Life Sciences,Male,4,1,Laboratory Technician,4,Married,3688,No,18,3,4,2,3,0,0,0
Yes,1,39,Sales,2,Medical,Female,3,2,Sales Executive,3,Married,5238,Yes,18,3,12,3,2,0,0,0
No,1,43,Research & Development,3,Life Sciences,Female,3,3,Healthcare Representative,1,Married,9985,No,16,3,10,1,2,0,0,0
No,1,42,Research & Development,5,Life Sciences,Female,3,4,Research Director,4,Single,15992,No,14,3,16,2,3,0,0,0
No,1,42,Research & Development,4,Other,Male,2,2,Healthcare Representative,4,Single,6781,No,23,4,14,6,3,0,0,0
No,1,36,Sales,5,Medical,Female,3,2,Sales Executive,4,Single,6653,No,15,3,7,6,3,0,0,0
Yes,1,33,Sales,3,Marketing,Female,3,1,Sales Representative,3,Single,2851,Yes,13,3,1,2,3,0,0,0
No,1,46,Research & Development,4,Medical,Female,3,2,Manufacturing Director,3,Married,5258,No,14,3,7,2,4,0,0,0
Yes,1,21,Sales,3,Life Sciences,Female,4,1,Sales Representative,2,Single,2716,No,15,3,1,0,3,0,0,0
No,1,35,Research & Development,4,Life Sciences,Male,2,2,Healthcare Representative,2,Single,6540,No,19,3,10,5,3,1,0,0
No,1,30,Sales,1,Technical Degree,Male,3,1,Sales Representative,2,Married,2476,No,18,3,1,3,3,0,0,0
Yes,1,30,Research & Development,3,Technical Degree,Male,3,1,Research Scientist,4,Single,2285,Yes,23,4,3,4,3,0,0,0
No,1,37,Research & Development,4,Life Sciences,Male,3,2,Manufacturing Director,2,Single,4197,Yes,12,3,18,2,2,0,0,1
No,1,40,Research & Development,3,Medical,Female,2,2,Laboratory Technician,3,Married,3448,No,22,4,20,3,3,0,0,0
No,1,38,Research & Development,2,Life Sciences,Male,3,1,Laboratory Technician,4,Married,1702,Yes,23,4,1,3,3,0,0,0
Yes,1,19,Human Resources,2,Technical Degree,Male,2,1,Human Resources,4,Single,2564,No,12,3,1,3,4,0,0,0
No,1,57,Sales,3,Marketing,Male,2,4,Manager,4,Divorced,14118,No,12,3,32,3,2,0,0,0
No,1,54,Research & Development,4,Life Sciences,Female,3,2,Laboratory Technician,3,Single,3780,No,11,3,19,3,3,0,0,0
Yes,1,31,Research & Development,3,Life Sciences,Male,3,3,Healthcare Representative,3,Married,9824,No,12,3,12,2,3,0,0,0
No,1,40,Sales,3,Other,Male,1,3,Sales Executive,1,Divorced,10932,No,15,3,20,2,3,0,0,1
Yes,1,26,Research & Development,3,Technical Degree,Male,1,1,Laboratory Technician,4,Single,2340,Yes,18,3,1,3,1,0,0,0
No,1,38,Research & Development,3,Medical,Female,3,2,Healthcare Representative,3,Married,9824,No,19,3,18,4,3,0,0,0
No,1,24,Research & Development,2,Other,Male,2,1,Laboratory Technician,2,Married,2127,No,21,4,1,2,3,0,0,0
Yes,1,30,Sales,4,Life Sciences,Male,2,1,Sales Representative,1,Married,2033,No,18,3,1,2,4,0,0,0
No,1,20,Research & Development,3,Life Sciences,Female,2,1,Research Scientist,2,Single,2836,No,13,3,1,0,4,0,0,0
No,1,43,Research & Development,4,Other,Male,2,4,Research Director,4,Divorced,16627,Yes,14,3,21,3,2,0,0,0
No,1,30,Research & Development,3,Medical,Female,3,1,Research Scientist,3,Divorced,2083,No,20,4,1,2,3,0,0,0
Yes,1,45,Sales,4,Life Sciences,Female,3,2,Sales Executive,1,Married,4286,No,14,3,5,4,3,1,0,0
Yes,1,20,Research & Development,1,Medical,Male,3,1,Research Scientist,3,Single,1009,Yes,11,3,1,5,3,0,1,1
No,1,35,Research & Development,3,Life Sciences,Male,2,1,Laboratory Technician,3,Married,1281,No,18,3,1,3,3,0,0,0
No,1,37,Research & Development,2,Life Sciences,Male,4,1,Research Scientist,4,Single,4680,No,17,3,4,2,3,0,0,0
No,1,38,Research & Development,3,Life Sciences,Female,3,3,Manufacturing Director,3,Single,7861,Yes,14,3,10,4,4,0,0,0
No,1,29,Sales,3,Life Sciences,Male,3,1,Sales Representative,3,Single,2642,No,11,3,1,6,3,0,0,0
No,1,35,Research & Development,4,Life Sciences,Female,3,2,Healthcare Representative,1,Divorced,5093,No,11,3,16,2,4,0,0,0
No,1,38,Research & Development,5,Medical,Male,3,1,Research Scientist,3,Married,3057,Yes,13,3,6,0,1,0,0,1
No,1,24,Research & Development,3,Life Sciences,Male,2,1,Laboratory Technician,2,Divorced,2694,No,11,3,1,4,3,0,0,0
Yes,1,29,Research & Development,2,Life Sciences,Female,2,1,Laboratory Technician,1,Married,2319,Yes,11,3,1,1,3,0,0,0
No,1,40,Research & Development,4,Medical,Male,2,2,Laboratory Technician,3,Single,5094,No,14,3,10,6,3,0,0,0
